2026-08-30 03:43:18 | Device: cuda
2026-08-30 03:43:18 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 8.0, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results_ablation/hdirect_a48/california_mlp_fgib_beta_10_anchor_8/train.log', 'no_save': True, 'freeze_a': False, 'a_identity': True, 'cosine_classifier': False, 'log_variance_stats': False, 'subject_disjoint': False}
2026-08-30 03:43:18 | ===== Run 1/5 (seed 0) =====
2026-08-30 03:43:36 |   Val R2 improved to 0.7681, model saved
2026-08-30 03:43:36 | Epoch  42/100 | Train Loss 268.2132 | Val Loss 256.7806 MAE 0.3949 R2 0.7663
2026-08-30 03:43:36 | Epoch  43/100 | Train Loss 268.0282 | Val Loss 255.8196 MAE 0.3923 R2 0.7638
2026-08-30 03:43:36 | Epoch  44/100 | Train Loss 267.7878 | Val Loss 256.0853 MAE 0.3972 R2 0.7670
2026-08-30 03:43:36 | Epoch  45/100 | Train Loss 267.6293 | Val Loss 255.8098 MAE 0.3855 R2 0.7657
2026-08-30 03:43:37 | Epoch  46/100 | Train Loss 267.4628 | Val Loss 255.6988 MAE 0.4001 R2 0.7664
2026-08-30 03:43:37 | Epoch  47/100 | Train Loss 267.4775 | Val Loss 255.7144 MAE 0.3899 R2 0.7565
2026-08-30 03:43:37 | Epoch  48/100 | Train Loss 267.1980 | Val Loss 255.6496 MAE 0.3889 R2 0.7688
2026-08-30 03:43:37 |   Val R2 improved to 0.7688, model saved
2026-08-30 03:43:37 | Epoch  49/100 | Train Loss 267.1427 | Val Loss 255.3044 MAE 0.3847 R2 0.7694
2026-08-30 03:43:37 |   Val R2 improved to 0.7694, model saved
2026-08-30 03:43:37 | Epoch  50/100 | Train Loss 267.0189 | Val Loss 255.1624 MAE 0.3886 R2 0.7704
2026-08-30 03:43:37 |   Val R2 improved to 0.7704, model saved
2026-08-30 03:43:37 | Epoch  51/100 | Train Loss 267.0641 | Val Loss 255.1807 MAE 0.3836 R2 0.7666
2026-08-30 03:43:38 | Epoch  52/100 | Train Loss 267.0255 | Val Loss 255.3968 MAE 0.3830 R2 0.7688
2026-08-30 03:43:38 | Epoch  53/100 | Train Loss 267.0088 | Val Loss 255.0571 MAE 0.4103 R2 0.7642
2026-08-30 03:43:38 | Epoch  54/100 | Train Loss 266.8183 | Val Loss 255.0137 MAE 0.3827 R2 0.7705
2026-08-30 03:43:38 |   Val R2 improved to 0.7705, model saved
2026-08-30 03:43:38 | Epoch  55/100 | Train Loss 266.8631 | Val Loss 254.9986 MAE 0.3847 R2 0.7725
2026-08-30 03:43:38 |   Val R2 improved to 0.7725, model saved
2026-08-30 03:43:38 | Epoch  56/100 | Train Loss 266.8252 | Val Loss 254.6763 MAE 0.3815 R2 0.7720
2026-08-30 03:43:38 | Epoch  57/100 | Train Loss 266.8462 | Val Loss 255.0971 MAE 0.3888 R2 0.7644
2026-08-30 03:43:38 | Epoch  58/100 | Train Loss 266.7921 | Val Loss 255.1027 MAE 0.3836 R2 0.7703
2026-08-30 03:43:38 | Epoch  59/100 | Train Loss 266.6603 | Val Loss 255.0538 MAE 0.3835 R2 0.7734
2026-08-30 03:43:38 |   Val R2 improved to 0.7734, model saved
2026-08-30 03:43:39 | Epoch  60/100 | Train Loss 266.7187 | Val Loss 254.6125 MAE 0.3785 R2 0.7728
2026-08-30 03:43:39 | Epoch  61/100 | Train Loss 266.6644 | Val Loss 255.4335 MAE 0.4042 R2 0.7665
2026-08-30 03:43:39 | Epoch  62/100 | Train Loss 266.5686 | Val Loss 254.8355 MAE 0.3831 R2 0.7718
2026-08-30 03:43:39 | Epoch  63/100 | Train Loss 266.6671 | Val Loss 254.8639 MAE 0.3802 R2 0.7728
2026-08-30 03:43:39 | Epoch  64/100 | Train Loss 266.6246 | Val Loss 254.8749 MAE 0.3871 R2 0.7732
2026-08-30 03:43:39 | Epoch  65/100 | Train Loss 266.5354 | Val Loss 254.9426 MAE 0.3936 R2 0.7704
2026-08-30 03:43:39 | Epoch  66/100 | Train Loss 266.5918 | Val Loss 254.4993 MAE 0.3774 R2 0.7746
2026-08-30 03:43:39 |   Val R2 improved to 0.7746, model saved
2026-08-30 03:43:40 | Epoch  67/100 | Train Loss 266.5310 | Val Loss 255.1031 MAE 0.3898 R2 0.7722
2026-08-30 03:43:40 | Epoch  68/100 | Train Loss 266.5073 | Val Loss 254.6531 MAE 0.3844 R2 0.7741
2026-08-30 03:43:40 | Epoch  69/100 | Train Loss 266.4313 | Val Loss 254.4088 MAE 0.3852 R2 0.7742
2026-08-30 03:43:40 | Epoch  70/100 | Train Loss 266.3182 | Val Loss 255.0545 MAE 0.3903 R2 0.7734
2026-08-30 03:43:40 | Epoch  71/100 | Train Loss 266.2898 | Val Loss 254.2299 MAE 0.3895 R2 0.7733
2026-08-30 03:43:40 | Epoch  72/100 | Train Loss 266.0856 | Val Loss 254.3647 MAE 0.3786 R2 0.7726
2026-08-30 03:43:41 | Epoch  73/100 | Train Loss 266.0328 | Val Loss 254.6145 MAE 0.3761 R2 0.7766
2026-08-30 03:43:41 |   Val R2 improved to 0.7766, model saved
2026-08-30 03:43:41 | Epoch  74/100 | Train Loss 266.1213 | Val Loss 254.6400 MAE 0.3771 R2 0.7715
2026-08-30 03:43:41 | Epoch  75/100 | Train Loss 266.1581 | Val Loss 254.1744 MAE 0.3779 R2 0.7760
2026-08-30 03:43:41 | Epoch  76/100 | Train Loss 266.1716 | Val Loss 254.3497 MAE 0.3800 R2 0.7759
2026-08-30 03:43:41 | Epoch  77/100 | Train Loss 266.1090 | Val Loss 254.2885 MAE 0.3949 R2 0.7729
2026-08-30 03:43:41 | Epoch  78/100 | Train Loss 266.0665 | Val Loss 254.3675 MAE 0.3761 R2 0.7755
2026-08-30 03:43:41 | Epoch  79/100 | Train Loss 266.0529 | Val Loss 254.1160 MAE 0.3766 R2 0.7750
2026-08-30 03:43:42 | Epoch  80/100 | Train Loss 266.0737 | Val Loss 254.7486 MAE 0.3812 R2 0.7771
2026-08-30 03:43:42 |   Val R2 improved to 0.7771, model saved
2026-08-30 03:43:42 | Epoch  81/100 | Train Loss 265.9001 | Val Loss 254.2020 MAE 0.3931 R2 0.7750
2026-08-30 03:43:42 | Epoch  82/100 | Train Loss 265.9113 | Val Loss 253.8789 MAE 0.3846 R2 0.7743
2026-08-30 03:43:42 | Epoch  83/100 | Train Loss 265.9407 | Val Loss 254.1351 MAE 0.3743 R2 0.7785
2026-08-30 03:43:42 |   Val R2 improved to 0.7785, model saved
2026-08-30 03:43:42 | Epoch  84/100 | Train Loss 265.8347 | Val Loss 254.1928 MAE 0.3911 R2 0.7749
2026-08-30 03:43:42 | Epoch  85/100 | Train Loss 265.8661 | Val Loss 253.4553 MAE 0.3761 R2 0.7744
2026-08-30 03:43:42 | Epoch  86/100 | Train Loss 265.8329 | Val Loss 254.0221 MAE 0.3794 R2 0.7776
2026-08-30 03:43:42 | Epoch  87/100 | Train Loss 265.7933 | Val Loss 253.7756 MAE 0.3805 R2 0.7782
2026-08-30 03:43:43 | Epoch  88/100 | Train Loss 265.8369 | Val Loss 253.8272 MAE 0.3796 R2 0.7762
2026-08-30 03:43:43 | Epoch  89/100 | Train Loss 265.7166 | Val Loss 253.7779 MAE 0.3841 R2 0.7734
