combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,CE,Acc,R2
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,2,7.112173,2.225695,4.886478,0.076890,0.983200,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,3,7.162466,2.237800,4.924667,0.064785,0.981700,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,4,7.375023,2.234542,5.140481,0.068044,0.980000,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,5,7.263583,2.225684,5.037899,0.076901,0.978100,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,1,7.844784,2.229353,5.615431,0.073232,0.979800,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,2,7.877750,2.237169,5.640581,0.065416,0.980800,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,3,7.883990,2.229940,5.654050,0.072645,0.978800,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,4,7.469843,2.235415,5.234428,0.067170,0.983000,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,5,7.286796,2.234257,5.052539,0.068328,0.982600,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,1,7.805082,2.208596,5.596486,0.093990,0.981400,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,2,7.744427,2.224580,5.519847,0.078005,0.980300,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,3,7.735917,2.228967,5.506950,0.073618,0.980200,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,4,7.838150,2.211384,5.626766,0.091201,0.980100,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,5,7.774912,2.222843,5.552069,0.079742,0.979700,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,1,7.909367,2.225362,5.684005,0.077223,0.979200,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,2,7.888306,2.233688,5.654618,0.068897,0.979700,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,3,7.922402,2.229312,5.693090,0.073273,0.982900,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,4,7.877284,2.221935,5.655350,0.080651,0.982500,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,5,7.857772,2.220881,5.636890,0.081704,0.981300,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,6.299755,2.238370,4.061385,0.064215,0.981200,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,2,6.133165,2.237559,3.895606,0.065026,0.981100,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,3,5.580538,2.233680,3.346858,0.068905,0.983800,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,4,6.322539,2.235228,4.087311,0.067357,0.979900,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,5,5.744124,2.243565,3.500559,0.059020,0.984500,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,1,7.618445,2.203673,5.414772,0.098913,0.977800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,2,7.645145,2.216241,5.428904,0.086344,0.978800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,3,7.595115,2.215391,5.379724,0.087194,0.978300,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,4,7.638985,2.206297,5.432688,0.096288,0.981800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,5,7.616361,2.219972,5.396389,0.082613,0.982200,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,1,6.872779,2.210763,4.662016,0.091822,0.981000,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,2,7.563815,2.227521,5.336294,0.075064,0.981300,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,3,6.868705,2.213679,4.655026,0.088906,0.980300,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,4,7.063027,2.217126,4.845900,0.085459,0.980400,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,5,7.483146,2.226261,5.256885,0.076325,0.981800,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,1,5.008892,2.234675,2.774216,0.067910,0.982400,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,2,5.628268,2.236086,3.392181,0.066499,0.979400,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,3,5.207893,2.239801,2.968093,0.062784,0.981300,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,4,5.828689,2.237735,3.590954,0.064850,0.982000,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,5,4.935157,2.239704,2.695453,0.062881,0.983500,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,1,6.881335,2.159106,4.722229,0.143479,0.977300,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,2,7.284918,2.202263,5.082655,0.100322,0.978600,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,3,7.268948,2.211231,5.057717,0.091354,0.981700,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,4,7.199161,2.206611,4.992550,0.095974,0.980800,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,5,6.723021,2.173706,4.549315,0.128879,0.980800,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,1,4.908971,2.214483,2.694489,0.088102,0.982400,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,2,5.555694,2.214489,3.341205,0.088097,0.983000,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,3,5.439147,2.211982,3.227165,0.090603,0.982100,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,4,6.760897,2.229420,4.531477,0.073165,0.981500,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,5,6.059172,2.212800,3.846373,0.089785,0.978900,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,4.150212,2.233420,1.916791,0.069165,0.978700,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,2,3.682174,2.239741,1.442433,0.062844,0.983000,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,3,3.750358,2.237248,1.513110,0.065338,0.981200,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,4,3.779686,2.238217,1.541469,0.064369,0.982800,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,5,3.877357,2.238743,1.638614,0.063842,0.981200,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,1,5.271331,2.085978,3.185353,0.216607,0.979200,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,2,5.849770,2.148148,3.701623,0.154437,0.975500,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,3,6.071533,2.167543,3.903990,0.135042,0.980000,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,4,6.075082,2.141289,3.933793,0.161296,0.977000,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,5,5.380406,2.112871,3.267535,0.189714,0.981700,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,1,3.679397,2.214659,1.464738,0.087926,0.984300,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,2,4.077471,2.220021,1.857450,0.082564,0.982800,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,3,3.660293,2.210508,1.449785,0.092077,0.984300,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,4,3.562143,2.207589,1.354553,0.094996,0.982600,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,5,3.639613,2.210993,1.428620,0.091592,0.984000,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,1,3.147145,2.236608,0.910536,0.065977,0.982200,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,2,3.438631,2.233258,1.205373,0.069327,0.981300,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,3,3.385155,2.237554,1.147601,0.065031,0.981200,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,4,3.540171,2.235539,1.304633,0.067046,0.981600,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,5,3.163817,2.241095,0.922722,0.061490,0.984000,
