combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,3,7.135443,2.234356,6.581095,148.636312,0.064785,0.981700,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,4,7.423208,2.230302,6.695672,179.743708,0.068044,0.980000,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,5,7.286358,2.221171,6.672528,173.573771,0.076901,0.978100,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,1,1,7.867627,2.232668,6.895363,7758.616256,0.073232,0.979800,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,1,2,7.881424,2.238074,6.895554,4301.132339,0.065416,0.980800,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,1,3,7.886460,2.236261,6.887157,9119.670615,0.072645,0.978800,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,1,4,7.202483,2.235473,6.863504,21741.954922,0.067170,0.983000,
mnist_mlp_opb_beta_0.0001_anchor_1,mnist,mnist,opb,0.0001,1,5,7.363391,2.235907,6.823099,9883.897240,0.068328,0.982600,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,1,7.798498,2.204296,6.908975,12887.167705,0.093990,0.981400,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,2,7.765445,2.218578,6.908965,12077.917659,0.078005,0.980300,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,3,7.744876,2.220460,6.901480,4697.353738,0.073618,0.980200,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,4,7.848296,2.208521,6.909363,10524.700397,0.091201,0.980100,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,5,7.759821,2.219330,6.908529,6737.428102,0.079742,0.979700,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,1,7.904658,2.224716,6.907195,5987.360324,0.077223,0.979200,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,2,7.890666,2.230556,6.904300,4821.534135,0.068897,0.979700,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,3,7.903402,2.224126,6.908697,12744.776158,0.073273,0.982900,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,4,7.867643,2.221068,6.906148,8576.800189,0.080651,0.982500,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,5,7.666496,2.222064,6.897236,7263.088943,0.081704,0.981300,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,1,6.343534,2.237175,6.090647,509.947136,0.064215,0.981200,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,2,6.109090,2.234968,5.986413,1430.306168,0.065026,0.981100,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,3,5.538906,2.231014,5.474797,1488.308273,0.068905,0.983800,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,4,6.326448,2.232875,6.016788,570.988500,0.067357,0.979900,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,5,5.736375,2.244472,5.592023,948.753577,0.059020,0.984500,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,1,7.592718,2.200582,6.893715,1489.386276,0.098913,0.977800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,2,7.647388,2.209851,6.852597,1923.277597,0.086344,0.978800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,3,7.611032,2.212185,6.888909,1700.627767,0.087194,0.978300,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,4,7.615949,2.201673,6.876235,2200.432858,0.096288,0.981800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,5,7.665743,2.213193,6.904669,2615.805372,0.082613,0.982200,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,6,1,6.861935,2.206270,6.498937,1531.517191,0.091822,0.981000,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,6,2,7.575868,2.227067,6.800845,799.035088,0.075064,0.981300,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,6,3,6.858109,2.215284,6.647800,1474.881011,0.088906,0.980300,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,6,4,7.045630,2.215961,6.506812,1227.920098,0.085459,0.980400,
mnist_mlp_opb_beta_0.0005_anchor_6,mnist,mnist,opb,0.0005,6,5,7.475549,2.222840,6.751508,627.313621,0.076325,0.981800,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,1,1,5.007483,2.229932,4.461988,203.978787,0.067910,0.982400,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,1,2,5.611369,2.235150,5.242010,281.506509,0.066499,0.979400,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,1,3,5.237034,2.241046,4.886332,269.763690,0.062784,0.981300,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,1,4,5.845873,2.235320,5.448385,345.815725,0.064850,0.982000,
mnist_mlp_opb_beta_0.001_anchor_1,mnist,mnist,opb,0.001,1,5,4.917092,2.238664,4.489671,274.653056,0.062881,0.983500,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,12,1,6.908212,2.143208,6.586303,1362.488398,0.143479,0.977300,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,12,2,7.290072,2.191559,6.718962,650.211034,0.100322,0.978600,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,12,3,7.299202,2.203013,6.696377,754.985360,0.091354,0.981700,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,12,4,7.183908,2.195139,6.585893,429.356708,0.095974,0.980800,
mnist_mlp_opb_beta_0.001_anchor_12,mnist,mnist,opb,0.001,12,5,6.734042,2.162482,6.587336,3018.077557,0.128879,0.980800,
