config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.001,5,linf,0.2,0.255000,0.740061
mnist_mlp_ceb_beta_0.001,5,linf,0.25,0.121000,0.876656
mnist_mlp_ceb_beta_0.001,5,linf,0.3,0.066000,0.932722
mnist_mlp_ceb_beta_0.001,5,l2,1,0.937000,0.044852
mnist_mlp_ceb_beta_0.001,5,l2,2,0.779000,0.205912
mnist_mlp_ceb_beta_0.001,5,l2,3,0.490000,0.500510
mnist_mlp_ceb_beta_0.001,5,l2,4,0.256000,0.739042
mnist_mlp_ceb_beta_0.001,5,l2,5,0.125000,0.872579
mnist_mlp_ceb_beta_0.001,5,l2,6,0.062000,0.936799
mnist_mlp_ceb_beta_0.01,1,none,0,0.985000,
mnist_mlp_ceb_beta_0.01,1,linf,0.05,0.934000,0.051777
mnist_mlp_ceb_beta_0.01,1,linf,0.1,0.777000,0.211168
mnist_mlp_ceb_beta_0.01,1,linf,0.15,0.484000,0.508629
mnist_mlp_ceb_beta_0.01,1,linf,0.2,0.259000,0.737056
mnist_mlp_ceb_beta_0.01,1,linf,0.25,0.135000,0.862944
mnist_mlp_ceb_beta_0.01,1,linf,0.3,0.061000,0.938071
mnist_mlp_ceb_beta_0.01,1,l2,1,0.929000,0.056853
mnist_mlp_ceb_beta_0.01,1,l2,2,0.786000,0.202030
mnist_mlp_ceb_beta_0.01,1,l2,3,0.479000,0.513706
mnist_mlp_ceb_beta_0.01,1,l2,4,0.248000,0.748223
mnist_mlp_ceb_beta_0.01,1,l2,5,0.129000,0.869036
mnist_mlp_ceb_beta_0.01,1,l2,6,0.059000,0.940102
mnist_mlp_ceb_beta_0.01,2,none,0,0.983000,
mnist_mlp_ceb_beta_0.01,2,linf,0.05,0.934000,0.049847
mnist_mlp_ceb_beta_0.01,2,linf,0.1,0.718000,0.269583
mnist_mlp_ceb_beta_0.01,2,linf,0.15,0.453000,0.539166
mnist_mlp_ceb_beta_0.01,2,linf,0.2,0.245000,0.750763
mnist_mlp_ceb_beta_0.01,2,linf,0.25,0.134000,0.863683
mnist_mlp_ceb_beta_0.01,2,linf,0.3,0.070000,0.928789
mnist_mlp_ceb_beta_0.01,2,l2,1,0.936000,0.047813
mnist_mlp_ceb_beta_0.01,2,l2,2,0.751000,0.236012
mnist_mlp_ceb_beta_0.01,2,l2,3,0.457000,0.535097
mnist_mlp_ceb_beta_0.01,2,l2,4,0.247000,0.748728
mnist_mlp_ceb_beta_0.01,2,l2,5,0.115000,0.883011
mnist_mlp_ceb_beta_0.01,2,l2,6,0.060000,0.938962
mnist_mlp_ceb_beta_0.01,3,none,0,0.981000,
mnist_mlp_ceb_beta_0.01,3,linf,0.05,0.930000,0.051988
mnist_mlp_ceb_beta_0.01,3,linf,0.1,0.735000,0.250765
mnist_mlp_ceb_beta_0.01,3,linf,0.15,0.478000,0.512742
mnist_mlp_ceb_beta_0.01,3,linf,0.2,0.286000,0.708461
