config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,linf,0.15,0.388000,0.026860
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,linf,0.2,0.369000,0.030992
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,linf,0.25,0.327000,0.024793
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,linf,0.3,0.349000,0.037190
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,l2,1,0.498000,0.018595
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,l2,2,0.448000,0.022727
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,l2,3,0.402000,0.033058
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,l2,4,0.370000,0.037190
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,l2,5,0.334000,0.037190
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,l2,6,0.333000,0.030992
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,none,0,0.642000,
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,linf,0.05,0.559000,0.040816
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,linf,0.1,0.506000,0.059524
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,linf,0.15,0.443000,0.045918
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,linf,0.2,0.408000,0.068027
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,linf,0.25,0.423000,0.052721
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,linf,0.3,0.375000,0.083333
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,l2,1,0.552000,0.054422
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,l2,2,0.504000,0.052721
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,l2,3,0.442000,0.071429
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,l2,4,0.424000,0.074830
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,l2,5,0.369000,0.069728
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,3,l2,6,0.370000,0.074830
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,none,0,0.737000,
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,linf,0.05,0.654000,0.022321
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,linf,0.1,0.568000,0.017857
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,linf,0.15,0.478000,0.038690
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,linf,0.2,0.458000,0.037202
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,linf,0.25,0.416000,0.044643
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,linf,0.3,0.393000,0.052083
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,l2,1,0.642000,0.020833
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,l2,2,0.572000,0.029762
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,l2,3,0.506000,0.035714
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,l2,4,0.476000,0.044643
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,l2,5,0.441000,0.049107
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,4,l2,6,0.394000,0.061012
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,none,0,0.567000,
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,linf,0.05,0.528000,0.046243
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,linf,0.1,0.462000,0.036609
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,linf,0.15,0.393000,0.050096
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,linf,0.2,0.384000,0.057803
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,linf,0.25,0.367000,0.088632
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,linf,0.3,0.374000,0.061657
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,l2,1,0.505000,0.040462
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,l2,2,0.464000,0.048170
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,l2,3,0.418000,0.038536
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,l2,4,0.415000,0.052023
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,l2,5,0.352000,0.053950
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,5,l2,6,0.360000,0.071291
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,none,0,0.982000,
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,linf,0.05,0.978000,0.001115
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,linf,0.1,0.965000,0.001115
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,linf,0.15,0.951000,0.002230
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,linf,0.2,0.926000,0.004459
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,linf,0.25,0.909000,0.007804
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,linf,0.3,0.882000,0.010033
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,l2,1,0.972000,0.001115
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,l2,2,0.964000,0.001115
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,l2,3,0.947000,0.003344
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,l2,4,0.923000,0.004459
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,l2,5,0.884000,0.011148
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,1,l2,6,0.853000,0.015608
