dataset,variant,beta,anchor,metric_mean,metric_std,n_runs
cora,GPB,0.001,10.0,0.86714,0.005963891347098808,5
cora,GPB,0.001,12.0,0.84982,0.009459228298333868,5
cora,GPB,0.001,14.0,0.8424400000000001,0.026243723059047843,5
cora,GPB,0.001,16.0,0.8420799999999999,0.0281625993118533,5
cora,GPB,0.01,1.0,0.86494,0.003971523637094456,5
cora,GPB,0.01,2.0,0.8612400000000001,0.0058896519421778905,5
cora,GPB,0.01,4.0,0.87196,0.0089946094968042,5
cora,GPB,0.01,6.0,0.8630800000000001,0.017879373590816892,5
cora,GPB,0.01,8.0,0.85978,0.023801722626734377,5
cora,GPB,0.01,10.0,0.86678,0.012480464734936744,5
cora,GPB,0.01,12.0,0.85092,0.013378415451764105,5
cora,GPB,0.01,14.0,0.84354,0.023188962891858702,5
cora,GPB,0.01,16.0,0.85646,0.01616378668505619,5
cora,GPB,0.1,1.0,0.8782399999999999,0.007843022376609703,5
cora,GPB,0.1,2.0,0.8771000000000001,0.003616628264005011,5
cora,GPB,0.1,4.0,0.8646,0.003092733418838401,5
cora,GPB,0.1,6.0,0.8737999999999999,0.0077862057511987465,5
cora,GPB,0.1,8.0,0.8726800000000001,0.001308434178703703,5
cora,GPB,0.1,10.0,0.87896,0.0027826246602803205,5
cora,GPB,0.1,12.0,0.8764,0.0056696560742253285,5
cora,GPB,0.1,14.0,0.87748,0.006469698601944315,5
cora,GPB,0.1,16.0,0.87194,0.010065187529301177,5
cora,GPB,1.0,1.0,0.5668,0.2844765543942066,5
cora,GPB,1.0,2.0,0.62914,0.1377137720055623,5
cora,GPB,1.0,4.0,0.82914,0.10874485275175096,5
cora,GPB,1.0,6.0,0.8723000000000001,0.00155402702679202,5
cora,GPB,1.0,8.0,0.86936,0.0035274636780553738,5
cora,GPB,1.0,10.0,0.8763799999999999,0.004349367770147732,5
cora,GPB,1.0,12.0,0.8760199999999999,0.006809698965446293,5
cora,GPB,1.0,14.0,0.8630800000000001,0.01679633888679316,5
cora,GPB,1.0,16.0,0.85938,0.021344952564950836,5
cora,GPB,10.0,1.0,0.34243999999999997,0.08772435807687623,5
cora,GPB,10.0,2.0,0.48488,0.2230703185096574,5
cora,GPB,10.0,4.0,0.8812,0.005503180898353229,5
cora,GPB,10.0,6.0,0.87416,0.013554630205210319,5
cora,GPB,10.0,8.0,0.44871999999999995,0.24986267628439426,5
cora,GPB,10.0,10.0,0.33616,0.04796444516514291,5
cora,GPB,10.0,12.0,0.33358,0.048616581533464494,5
cora,GPB,10.0,14.0,0.44392,0.2515970429079007,5
cora,GPB,10.0,16.0,0.44318,0.24826091516789348,5
cora,OPB-FF,0.0001,1.0,0.88046,0.00590533656957839,5
cora,OPB-FF,0.0001,2.0,0.8852399999999999,0.0047558385170230425,5
cora,OPB-FF,0.0001,4.0,0.87784,0.0074312179351705065,5
cora,OPB-FF,0.0001,6.0,0.87342,0.008529478295886564,5
cora,OPB-FF,0.0001,8.0,0.87714,0.006969433262468349,5
cora,OPB-FF,0.0001,10.0,0.87418,0.005124646329260191,5
cora,OPB-FF,0.0001,12.0,0.87158,0.014064032138757369,5
cora,OPB-FF,0.0001,14.0,0.87414,0.0076519932043879815,5
cora,OPB-FF,0.0001,16.0,0.8767400000000001,0.0089898832028008,5
cora,OPB-FF,0.001,1.0,0.8767400000000001,0.004786752552618519,5
cora,OPB-FF,0.001,2.0,0.8848800000000001,0.004241697773297843,5
cora,OPB-FF,0.001,4.0,0.8778600000000001,0.0073227726989167,5
cora,OPB-FF,0.001,6.0,0.8760200000000001,0.007448624034007908,5
cora,OPB-FF,0.001,8.0,0.87454,0.009494366750868649,5
cora,OPB-FF,0.001,10.0,0.8734400000000001,0.00754009283762473,5
cora,OPB-FF,0.001,12.0,0.87048,0.010223355613495966,5
cora,OPB-FF,0.001,14.0,0.87158,0.008512167761504683,5
cora,OPB-FF,0.001,16.0,0.8752800000000001,0.00843842402347736,5
cora,OPB-FF,0.01,1.0,0.8712,0.006053098380168591,5
cora,OPB-FF,0.01,2.0,0.87454,0.009992897477708863,5
cora,OPB-FF,0.01,4.0,0.87858,0.006201773939769176,5
cora,OPB-FF,0.01,6.0,0.87714,0.004824209779849957,5
cora,OPB-FF,0.01,8.0,0.87712,0.009997349648781902,5
cora,OPB-FF,0.01,10.0,0.87822,0.005410822488309881,5
cora,OPB-FF,0.01,12.0,0.8767400000000001,0.006577461516421076,5
