2026-08-26 21:06:55 | Device: cuda
2026-08-26 21:06:55 | Args: {'model': 'svib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_svib/california_mlp_svib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_svib_beta_10/train.log', 'no_save': True}
2026-08-26 21:06:55 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:07:25 | Epoch  13/100 | Train Loss 0.0693 | Val Loss 0.0670 MAE 0.9078 R2 -0.1449
2026-08-26 21:07:25 |   Val R2 improved to -0.1449, model saved
2026-08-26 21:07:26 | Epoch  14/100 | Train Loss 0.0671 | Val Loss 0.0650 MAE 0.9018 R2 -0.1113
2026-08-26 21:07:26 |   Val R2 improved to -0.1113, model saved
2026-08-26 21:07:26 | Epoch  15/100 | Train Loss 0.0658 | Val Loss 0.0634 MAE 0.8983 R2 -0.0842
2026-08-26 21:07:26 |   Val R2 improved to -0.0842, model saved
2026-08-26 21:07:26 | Epoch  16/100 | Train Loss 0.0639 | Val Loss 0.0622 MAE 0.8972 R2 -0.0633
2026-08-26 21:07:26 |   Val R2 improved to -0.0633, model saved
2026-08-26 21:07:26 | Epoch  17/100 | Train Loss 0.0627 | Val Loss 0.0612 MAE 0.8974 R2 -0.0469
2026-08-26 21:07:27 |   Val R2 improved to -0.0469, model saved
2026-08-26 21:07:27 | Epoch  18/100 | Train Loss 0.0615 | Val Loss 0.0605 MAE 0.8987 R2 -0.0355
2026-08-26 21:07:27 |   Val R2 improved to -0.0355, model saved
2026-08-26 21:07:27 | Epoch  19/100 | Train Loss 0.0609 | Val Loss 0.0600 MAE 0.9007 R2 -0.0261
2026-08-26 21:07:27 |   Val R2 improved to -0.0261, model saved
2026-08-26 21:07:28 | Epoch  20/100 | Train Loss 0.0606 | Val Loss 0.0596 MAE 0.9033 R2 -0.0195
2026-08-26 21:07:28 |   Val R2 improved to -0.0195, model saved
2026-08-26 21:07:28 | Epoch  21/100 | Train Loss 0.0599 | Val Loss 0.0593 MAE 0.9058 R2 -0.0147
2026-08-26 21:07:28 |   Val R2 improved to -0.0147, model saved
2026-08-26 21:07:28 | Epoch  22/100 | Train Loss 0.0596 | Val Loss 0.0590 MAE 0.9084 R2 -0.0107
2026-08-26 21:07:28 |   Val R2 improved to -0.0107, model saved
2026-08-26 21:07:29 | Epoch  23/100 | Train Loss 0.0595 | Val Loss 0.0589 MAE 0.9109 R2 -0.0076
2026-08-26 21:07:29 |   Val R2 improved to -0.0076, model saved
2026-08-26 21:07:29 | Epoch  24/100 | Train Loss 0.0594 | Val Loss 0.0587 MAE 0.9128 R2 -0.0056
2026-08-26 21:07:29 |   Val R2 improved to -0.0056, model saved
2026-08-26 21:07:30 | Epoch  25/100 | Train Loss 0.0593 | Val Loss 0.0587 MAE 0.9150 R2 -0.0039
2026-08-26 21:07:30 |   Val R2 improved to -0.0039, model saved
2026-08-26 21:07:30 | Epoch  26/100 | Train Loss 0.0588 | Val Loss 0.0586 MAE 0.9164 R2 -0.0030
2026-08-26 21:07:30 |   Val R2 improved to -0.0030, model saved
2026-08-26 21:07:31 | Epoch  27/100 | Train Loss 0.0595 | Val Loss 0.0585 MAE 0.9183 R2 -0.0020
2026-08-26 21:07:31 |   Val R2 improved to -0.0020, model saved
2026-08-26 21:07:31 | Epoch  28/100 | Train Loss 0.0590 | Val Loss 0.0585 MAE 0.9197 R2 -0.0015
2026-08-26 21:07:31 |   Val R2 improved to -0.0015, model saved
2026-08-26 21:07:31 | Epoch  29/100 | Train Loss 0.0586 | Val Loss 0.0585 MAE 0.9206 R2 -0.0011
2026-08-26 21:07:31 |   Val R2 improved to -0.0011, model saved
2026-08-26 21:07:32 | Epoch  30/100 | Train Loss 0.0590 | Val Loss 0.0584 MAE 0.9216 R2 -0.0008
2026-08-26 21:07:32 |   Val R2 improved to -0.0008, model saved
2026-08-26 21:07:32 | Epoch  31/100 | Train Loss 0.0588 | Val Loss 0.0584 MAE 0.9221 R2 -0.0007
2026-08-26 21:07:32 |   Val R2 improved to -0.0007, model saved
2026-08-26 21:07:33 | Epoch  32/100 | Train Loss 0.0589 | Val Loss 0.0584 MAE 0.9228 R2 -0.0005
2026-08-26 21:07:33 |   Val R2 improved to -0.0005, model saved
2026-08-26 21:07:33 | Epoch  33/100 | Train Loss 0.0588 | Val Loss 0.0584 MAE 0.9233 R2 -0.0004
2026-08-26 21:07:33 |   Val R2 improved to -0.0004, model saved
2026-08-26 21:07:34 | Epoch  34/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9235 R2 -0.0004
2026-08-26 21:07:34 |   Val R2 improved to -0.0004, model saved
2026-08-26 21:07:34 | Epoch  35/100 | Train Loss 0.0589 | Val Loss 0.0584 MAE 0.9238 R2 -0.0003
2026-08-26 21:07:35 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:07:35 | Epoch  36/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9239 R2 -0.0003
2026-08-26 21:07:35 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:07:35 | Epoch  37/100 | Train Loss 0.0588 | Val Loss 0.0584 MAE 0.9241 R2 -0.0003
2026-08-26 21:07:35 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:07:36 | Epoch  38/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9246 R2 -0.0002
2026-08-26 21:07:36 |   Val R2 improved to -0.0002, model saved
2026-08-26 21:07:36 | Epoch  39/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9248 R2 -0.0001
2026-08-26 21:07:36 |   Val R2 improved to -0.0001, model saved
2026-08-26 21:07:37 | Epoch  40/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9248 R2 -0.0000
2026-08-26 21:07:37 |   Val R2 improved to -0.0000, model saved
2026-08-26 21:07:37 | Epoch  41/100 | Train Loss 0.0584 | Val Loss 0.0584 MAE 0.9249 R2 -0.0001
2026-08-26 21:07:37 | Epoch  42/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9249 R2 -0.0001
2026-08-26 21:07:38 | Epoch  43/100 | Train Loss 0.0585 | Val Loss 0.0584 MAE 0.9251 R2 -0.0001
2026-08-26 21:07:38 | Epoch  44/100 | Train Loss 0.0585 | Val Loss 0.0584 MAE 0.9249 R2 -0.0002
2026-08-26 21:07:39 | Epoch  45/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9247 R2 -0.0002
2026-08-26 21:07:39 | Epoch  46/100 | Train Loss 0.0587 | Val Loss 0.0584 MAE 0.9251 R2 -0.0001
2026-08-26 21:07:39 | Epoch  47/100 | Train Loss 0.0583 | Val Loss 0.0584 MAE 0.9250 R2 0.0000
2026-08-26 21:07:40 |   Val R2 improved to 0.0000, model saved
2026-08-26 21:07:40 | Epoch  48/100 | Train Loss 0.0585 | Val Loss 0.0584 MAE 0.9250 R2 0.0001
2026-08-26 21:07:40 |   Val R2 improved to 0.0001, model saved
2026-08-26 21:07:40 | Epoch  49/100 | Train Loss 0.0588 | Val Loss 0.0584 MAE 0.9251 R2 -0.0000
2026-08-26 21:07:40 | Epoch  50/100 | Train Loss 0.0587 | Val Loss 0.0584 MAE 0.9249 R2 -0.0002
2026-08-26 21:07:41 | Epoch  51/100 | Train Loss 0.0587 | Val Loss 0.0584 MAE 0.9252 R2 -0.0001
2026-08-26 21:07:41 | Epoch  52/100 | Train Loss 0.0586 | Val Loss 0.0584 MAE 0.9255 R2 -0.0001
2026-08-26 21:07:41 | Epoch  53/100 | Train Loss 0.0585 | Val Loss 0.0584 MAE 0.9253 R2 -0.0001
2026-08-26 21:07:41 | Epoch  54/100 | Train Loss 0.0584 | Val Loss 0.0584 MAE 0.9253 R2 -0.0001
2026-08-26 21:07:42 | Epoch  55/100 | Train Loss 0.0583 | Val Loss 0.0584 MAE 0.9246 R2 -0.0002
2026-08-26 21:07:42 | Epoch  56/100 | Train Loss 0.0587 | Val Loss 0.0584 MAE 0.9241 R2 -0.0001
2026-08-26 21:07:42 | Epoch  57/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9244 R2 -0.0002
2026-08-26 21:07:42 | Epoch  58/100 | Train Loss 0.0593 | Val Loss 0.0584 MAE 0.9242 R2 0.0001
2026-08-26 21:07:42 |   Val R2 improved to 0.0001, model saved
2026-08-26 21:07:42 | Epoch  59/100 | Train Loss 0.0585 | Val Loss 0.0584 MAE 0.9252 R2 -0.0000
2026-08-26 21:07:43 | Epoch  60/100 | Train Loss 0.0584 | Val Loss 0.0584 MAE 0.9252 R2 -0.0001
2026-08-26 21:07:43 | Epoch  61/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9252 R2 -0.0001
2026-08-26 21:07:43 | Epoch  62/100 | Train Loss 0.0584 | Val Loss 0.0584 MAE 0.9248 R2 -0.0001
2026-08-26 21:07:44 | Epoch  63/100 | Train Loss 0.0584 | Val Loss 0.0584 MAE 0.9250 R2 -0.0002
2026-08-26 21:07:44 | Epoch  64/100 | Train Loss 0.0592 | Val Loss 0.0584 MAE 0.9248 R2 -0.0000
2026-08-26 21:07:44 | Epoch  65/100 | Train Loss 0.0583 | Val Loss 0.0584 MAE 0.9248 R2 -0.0002
2026-08-26 21:07:45 | Epoch  66/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9248 R2 -0.0002
2026-08-26 21:07:45 | Epoch  67/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9246 R2 -0.0002
2026-08-26 21:07:45 | Epoch  68/100 | Train Loss 0.0581 | Val Loss 0.0584 MAE 0.9245 R2 -0.0000
2026-08-26 21:07:45 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 68 (best R2 0.0001 @ Epoch 58)
2026-08-26 21:07:45 | Run 2/5 | Test (best model @ Epoch 58) | Loss 0.0557 MAE 0.9047 R2 0.0002
2026-08-26 21:07:45 | ===== Run 3/5 (seed 2) =====
2026-08-26 21:07:45 | Epoch   1/100 | Train Loss 12.0842 | Val Loss 3.0869 MAE 1.9583 R2 -2.7925
2026-08-26 21:07:45 |   Val R2 improved to -2.7925, model saved
2026-08-26 21:07:46 | Epoch   2/100 | Train Loss 0.5835 | Val Loss 0.3413 MAE 1.7726 R2 -2.2858
2026-08-26 21:07:46 |   Val R2 improved to -2.2858, model saved
2026-08-26 21:07:46 | Epoch   3/100 | Train Loss 0.2741 | Val Loss 0.2028 MAE 1.6747 R2 -2.0365
2026-08-26 21:07:46 |   Val R2 improved to -2.0365, model saved
2026-08-26 21:07:47 | Epoch   4/100 | Train Loss 0.2138 | Val Loss 0.1789 MAE 1.5903 R2 -1.8360
2026-08-26 21:07:47 |   Val R2 improved to -1.8360, model saved
2026-08-26 21:07:47 | Epoch   5/100 | Train Loss 0.1877 | Val Loss 0.1629 MAE 1.5135 R2 -1.6583
2026-08-26 21:07:47 |   Val R2 improved to -1.6583, model saved
2026-08-26 21:07:48 | Epoch   6/100 | Train Loss 0.1686 | Val Loss 0.1499 MAE 1.4387 R2 -1.4864
2026-08-26 21:07:48 |   Val R2 improved to -1.4864, model saved
2026-08-26 21:07:48 | Epoch   7/100 | Train Loss 0.1526 | Val Loss 0.1380 MAE 1.3626 R2 -1.3121
2026-08-26 21:07:48 |   Val R2 improved to -1.3121, model saved
2026-08-26 21:07:48 | Epoch   8/100 | Train Loss 0.1412 | Val Loss 0.1277 MAE 1.2940 R2 -1.1549
