2026-09-06 07:40:31 | Device: cuda
2026-09-06 07:40:31 | Args: {'model': 'adacap', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_adacap/california_mlp_adacap.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_adacap_beta_0.01/train.log', 'no_save': True}
2026-09-06 07:40:31 | ===== Run 1/5 (seed 0) =====
2026-09-06 07:40:51 |   Val R2 improved to 0.7752, model saved
2026-09-06 07:40:52 | Epoch  17/100 | Train Loss -0.0248 | Val Loss 0.0132 MAE 0.3871 R2 0.7742
2026-09-06 07:40:52 | Epoch  18/100 | Train Loss -0.0254 | Val Loss 0.0133 MAE 0.3888 R2 0.7715
2026-09-06 07:40:52 | Epoch  19/100 | Train Loss -0.0252 | Val Loss 0.0134 MAE 0.3914 R2 0.7704
2026-09-06 07:40:53 | Epoch  20/100 | Train Loss -0.0262 | Val Loss 0.0133 MAE 0.3900 R2 0.7714
2026-09-06 07:40:53 | Epoch  21/100 | Train Loss -0.0260 | Val Loss 0.0133 MAE 0.3882 R2 0.7728
2026-09-06 07:40:53 | Epoch  22/100 | Train Loss -0.0265 | Val Loss 0.0131 MAE 0.3827 R2 0.7753
2026-09-06 07:40:53 |   Val R2 improved to 0.7753, model saved
2026-09-06 07:40:53 | Epoch  23/100 | Train Loss -0.0265 | Val Loss 0.0131 MAE 0.3835 R2 0.7755
2026-09-06 07:40:53 |   Val R2 improved to 0.7755, model saved
2026-09-06 07:40:54 | Epoch  24/100 | Train Loss -0.0267 | Val Loss 0.0130 MAE 0.3828 R2 0.7771
2026-09-06 07:40:54 |   Val R2 improved to 0.7771, model saved
2026-09-06 07:40:54 | Epoch  25/100 | Train Loss -0.0270 | Val Loss 0.0131 MAE 0.3862 R2 0.7764
2026-09-06 07:40:54 | Epoch  26/100 | Train Loss -0.0271 | Val Loss 0.0130 MAE 0.3822 R2 0.7772
2026-09-06 07:40:54 |   Val R2 improved to 0.7772, model saved
2026-09-06 07:40:55 | Epoch  27/100 | Train Loss -0.0276 | Val Loss 0.1180 MAE 0.4061 R2 -1.0213
2026-09-06 07:40:55 | Epoch  28/100 | Train Loss -0.0280 | Val Loss 3.9576 MAE 0.5324 R2 -66.7973
2026-09-06 07:40:55 | Epoch  29/100 | Train Loss -0.0276 | Val Loss 0.7512 MAE 0.4485 R2 -11.8681
2026-09-06 07:40:55 | Epoch  30/100 | Train Loss -0.0280 | Val Loss 0.1629 MAE 0.4132 R2 -1.7903
2026-09-06 07:40:56 | Epoch  31/100 | Train Loss -0.0284 | Val Loss 0.0130 MAE 0.3815 R2 0.7776
2026-09-06 07:40:56 |   Val R2 improved to 0.7776, model saved
2026-09-06 07:40:56 | Epoch  32/100 | Train Loss -0.0284 | Val Loss 0.0131 MAE 0.3837 R2 0.7757
2026-09-06 07:40:56 | Epoch  33/100 | Train Loss -0.0292 | Val Loss 0.0127 MAE 0.3789 R2 0.7824
2026-09-06 07:40:56 |   Val R2 improved to 0.7824, model saved
2026-09-06 07:40:57 | Epoch  34/100 | Train Loss -0.0290 | Val Loss 0.0126 MAE 0.3764 R2 0.7834
2026-09-06 07:40:57 |   Val R2 improved to 0.7834, model saved
2026-09-06 07:40:57 | Epoch  35/100 | Train Loss -0.0293 | Val Loss 0.0136 MAE 0.3808 R2 0.7674
2026-09-06 07:40:57 | Epoch  36/100 | Train Loss -0.0295 | Val Loss 0.0130 MAE 0.3853 R2 0.7770
2026-09-06 07:40:57 | Epoch  37/100 | Train Loss -0.0295 | Val Loss 0.0181 MAE 0.3925 R2 0.6905
2026-09-06 07:40:58 | Epoch  38/100 | Train Loss -0.0299 | Val Loss 0.0129 MAE 0.3823 R2 0.7786
2026-09-06 07:40:58 | Epoch  39/100 | Train Loss -0.0303 | Val Loss 0.0129 MAE 0.3821 R2 0.7799
2026-09-06 07:40:58 | Epoch  40/100 | Train Loss -0.0302 | Val Loss 0.0127 MAE 0.3763 R2 0.7823
2026-09-06 07:40:58 | Epoch  41/100 | Train Loss -0.0305 | Val Loss 0.0128 MAE 0.3784 R2 0.7814
2026-09-06 07:40:59 | Epoch  42/100 | Train Loss -0.0308 | Val Loss 0.0132 MAE 0.3873 R2 0.7747
2026-09-06 07:40:59 | Epoch  43/100 | Train Loss -0.0307 | Val Loss 0.0134 MAE 0.3865 R2 0.7701
2026-09-06 07:40:59 | Epoch  44/100 | Train Loss -0.0310 | Val Loss 0.0127 MAE 0.3762 R2 0.7818
2026-09-06 07:40:59 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 44 (best R2 0.7834 @ Epoch 34)
2026-09-06 07:40:59 | Run 2/5 | Test (best model @ Epoch 34) | Loss 0.0125 MAE 0.3731 R2 0.7754
2026-09-06 07:40:59 | ===== Run 3/5 (seed 2) =====
2026-09-06 07:41:00 | Epoch   1/100 | Train Loss -0.0180 | Val Loss 0.0149 MAE 0.4233 R2 0.7444
2026-09-06 07:41:00 |   Val R2 improved to 0.7444, model saved
2026-09-06 07:41:00 | Epoch   2/100 | Train Loss -0.0199 | Val Loss 0.0146 MAE 0.4171 R2 0.7500
2026-09-06 07:41:00 |   Val R2 improved to 0.7500, model saved
2026-09-06 07:41:00 | Epoch   3/100 | Train Loss -0.0208 | Val Loss 0.0142 MAE 0.4100 R2 0.7567
2026-09-06 07:41:00 |   Val R2 improved to 0.7567, model saved
2026-09-06 07:41:00 | Epoch   4/100 | Train Loss -0.0217 | Val Loss 0.0139 MAE 0.4051 R2 0.7625
2026-09-06 07:41:00 |   Val R2 improved to 0.7625, model saved
2026-09-06 07:41:01 | Epoch   5/100 | Train Loss -0.0221 | Val Loss 0.0140 MAE 0.4071 R2 0.7603
2026-09-06 07:41:01 | Epoch   6/100 | Train Loss -0.0225 | Val Loss 0.0138 MAE 0.4041 R2 0.7641
2026-09-06 07:41:01 |   Val R2 improved to 0.7641, model saved
2026-09-06 07:41:01 | Epoch   7/100 | Train Loss -0.0231 | Val Loss 0.0136 MAE 0.3994 R2 0.7675
2026-09-06 07:41:01 |   Val R2 improved to 0.7675, model saved
2026-09-06 07:41:01 | Epoch   8/100 | Train Loss -0.0234 | Val Loss 0.0139 MAE 0.4029 R2 0.7624
2026-09-06 07:41:02 | Epoch   9/100 | Train Loss -0.0238 | Val Loss 0.0137 MAE 0.4009 R2 0.7648
2026-09-06 07:41:02 | Epoch  10/100 | Train Loss -0.0243 | Val Loss 0.0138 MAE 0.3965 R2 0.7640
2026-09-06 07:41:02 | Epoch  11/100 | Train Loss -0.0248 | Val Loss 0.0139 MAE 0.3995 R2 0.7619
2026-09-06 07:41:02 | Epoch  12/100 | Train Loss -0.0246 | Val Loss 0.0137 MAE 0.3972 R2 0.7645
2026-09-06 07:41:03 | Epoch  13/100 | Train Loss -0.0251 | Val Loss 0.0135 MAE 0.3942 R2 0.7692
2026-09-06 07:41:03 |   Val R2 improved to 0.7692, model saved
2026-09-06 07:41:03 | Epoch  14/100 | Train Loss -0.0253 | Val Loss 0.0134 MAE 0.3925 R2 0.7708
2026-09-06 07:41:03 |   Val R2 improved to 0.7708, model saved
2026-09-06 07:41:03 | Epoch  15/100 | Train Loss -0.0258 | Val Loss 0.0137 MAE 0.3978 R2 0.7652
2026-09-06 07:41:03 | Epoch  16/100 | Train Loss -0.0260 | Val Loss 0.0135 MAE 0.3937 R2 0.7680
2026-09-06 07:41:04 | Epoch  17/100 | Train Loss -0.0266 | Val Loss 0.0138 MAE 0.3946 R2 0.7635
2026-09-06 07:41:04 | Epoch  18/100 | Train Loss -0.0267 | Val Loss 0.0135 MAE 0.3953 R2 0.7681
2026-09-06 07:41:04 | Epoch  19/100 | Train Loss -0.0270 | Val Loss 0.0133 MAE 0.3928 R2 0.7727
2026-09-06 07:41:04 |   Val R2 improved to 0.7727, model saved
