2026-09-14 22:42:36 | Device: cuda
2026-09-14 22:42:36 | Args: {'model': 'opb-rand-var', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 6.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.0001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb-rand-var/california_mlp_opb-rand-var.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/california_mlp_opb-rand-var_beta_0.0001_anchor_6/train.log', 'no_save': True}
2026-09-14 22:42:36 | ===== Run 1/5 (seed 0) =====
2026-09-14 22:42:55 | Epoch  46/100 | Train Loss 0.0142 | Val Loss 0.0134 MAE 0.3811 R2 0.7754
2026-09-14 22:42:55 | Epoch  47/100 | Train Loss 0.0139 | Val Loss 0.0133 MAE 0.3742 R2 0.7784
2026-09-14 22:42:56 | Epoch  48/100 | Train Loss 0.0141 | Val Loss 0.0131 MAE 0.3737 R2 0.7811
2026-09-14 22:42:56 |   Val R2 improved to 0.7811, model saved
2026-09-14 22:42:56 | Epoch  49/100 | Train Loss 0.0140 | Val Loss 0.0132 MAE 0.3730 R2 0.7802
2026-09-14 22:42:56 | Epoch  50/100 | Train Loss 0.0138 | Val Loss 0.0134 MAE 0.3730 R2 0.7761
2026-09-14 22:42:57 | Epoch  51/100 | Train Loss 0.0137 | Val Loss 0.0130 MAE 0.3692 R2 0.7836
2026-09-14 22:42:57 |   Val R2 improved to 0.7836, model saved
2026-09-14 22:42:57 | Epoch  52/100 | Train Loss 0.0139 | Val Loss 0.0129 MAE 0.3692 R2 0.7843
2026-09-14 22:42:57 |   Val R2 improved to 0.7843, model saved
2026-09-14 22:42:57 | Epoch  53/100 | Train Loss 0.0138 | Val Loss 0.0136 MAE 0.3818 R2 0.7718
2026-09-14 22:42:58 | Epoch  54/100 | Train Loss 0.0137 | Val Loss 0.0137 MAE 0.3728 R2 0.7716
2026-09-14 22:42:58 | Epoch  55/100 | Train Loss 0.0138 | Val Loss 0.0132 MAE 0.3773 R2 0.7800
2026-09-14 22:42:58 | Epoch  56/100 | Train Loss 0.0137 | Val Loss 0.0129 MAE 0.3718 R2 0.7841
2026-09-14 22:42:59 | Epoch  57/100 | Train Loss 0.0135 | Val Loss 0.0130 MAE 0.3669 R2 0.7831
2026-09-14 22:42:59 | Epoch  58/100 | Train Loss 0.0135 | Val Loss 0.0129 MAE 0.3675 R2 0.7849
2026-09-14 22:42:59 |   Val R2 improved to 0.7849, model saved
2026-09-14 22:42:59 | Epoch  59/100 | Train Loss 0.0134 | Val Loss 0.0132 MAE 0.3727 R2 0.7792
2026-09-14 22:43:00 | Epoch  60/100 | Train Loss 0.0137 | Val Loss 0.0127 MAE 0.3672 R2 0.7876
2026-09-14 22:43:00 |   Val R2 improved to 0.7876, model saved
2026-09-14 22:43:00 | Epoch  61/100 | Train Loss 0.0135 | Val Loss 0.0128 MAE 0.3686 R2 0.7859
2026-09-14 22:43:00 | Epoch  62/100 | Train Loss 0.0136 | Val Loss 0.0129 MAE 0.3746 R2 0.7853
2026-09-14 22:43:01 | Epoch  63/100 | Train Loss 0.0134 | Val Loss 0.0128 MAE 0.3687 R2 0.7865
2026-09-14 22:43:01 | Epoch  64/100 | Train Loss 0.0133 | Val Loss 0.0128 MAE 0.3657 R2 0.7857
2026-09-14 22:43:01 | Epoch  65/100 | Train Loss 0.0133 | Val Loss 0.0130 MAE 0.3677 R2 0.7831
2026-09-14 22:43:02 | Epoch  66/100 | Train Loss 0.0133 | Val Loss 0.0127 MAE 0.3708 R2 0.7871
2026-09-14 22:43:02 | Epoch  67/100 | Train Loss 0.0134 | Val Loss 0.0127 MAE 0.3669 R2 0.7884
2026-09-14 22:43:02 |   Val R2 improved to 0.7884, model saved
2026-09-14 22:43:02 | Epoch  68/100 | Train Loss 0.0132 | Val Loss 0.0130 MAE 0.3684 R2 0.7828
2026-09-14 22:43:03 | Epoch  69/100 | Train Loss 0.0133 | Val Loss 0.0128 MAE 0.3730 R2 0.7865
2026-09-14 22:43:03 | Epoch  70/100 | Train Loss 0.0132 | Val Loss 0.0126 MAE 0.3627 R2 0.7891
2026-09-14 22:43:03 |   Val R2 improved to 0.7891, model saved
2026-09-14 22:43:03 | Epoch  71/100 | Train Loss 0.0131 | Val Loss 0.0126 MAE 0.3644 R2 0.7892
2026-09-14 22:43:03 |   Val R2 improved to 0.7892, model saved
2026-09-14 22:43:04 | Epoch  72/100 | Train Loss 0.0134 | Val Loss 0.0130 MAE 0.3696 R2 0.7821
2026-09-14 22:43:04 | Epoch  73/100 | Train Loss 0.0133 | Val Loss 0.0126 MAE 0.3669 R2 0.7899
2026-09-14 22:43:04 |   Val R2 improved to 0.7899, model saved
2026-09-14 22:43:04 | Epoch  74/100 | Train Loss 0.0134 | Val Loss 0.0130 MAE 0.3733 R2 0.7838
2026-09-14 22:43:05 | Epoch  75/100 | Train Loss 0.0132 | Val Loss 0.0127 MAE 0.3636 R2 0.7878
2026-09-14 22:43:05 | Epoch  76/100 | Train Loss 0.0129 | Val Loss 0.0125 MAE 0.3629 R2 0.7910
2026-09-14 22:43:05 |   Val R2 improved to 0.7910, model saved
2026-09-14 22:43:05 | Epoch  77/100 | Train Loss 0.0130 | Val Loss 0.0128 MAE 0.3729 R2 0.7864
2026-09-14 22:43:06 | Epoch  78/100 | Train Loss 0.0130 | Val Loss 0.0126 MAE 0.3678 R2 0.7898
2026-09-14 22:43:06 | Epoch  79/100 | Train Loss 0.0130 | Val Loss 0.0127 MAE 0.3685 R2 0.7874
2026-09-14 22:43:07 | Epoch  80/100 | Train Loss 0.0131 | Val Loss 0.0137 MAE 0.3740 R2 0.7708
2026-09-14 22:43:07 | Epoch  81/100 | Train Loss 0.0133 | Val Loss 0.0126 MAE 0.3715 R2 0.7901
2026-09-14 22:43:07 | Epoch  82/100 | Train Loss 0.0131 | Val Loss 0.0126 MAE 0.3695 R2 0.7890
2026-09-14 22:43:08 | Epoch  83/100 | Train Loss 0.0128 | Val Loss 0.0125 MAE 0.3697 R2 0.7905
2026-09-14 22:43:08 | Epoch  84/100 | Train Loss 0.0129 | Val Loss 0.0124 MAE 0.3596 R2 0.7936
2026-09-14 22:43:08 |   Val R2 improved to 0.7936, model saved
2026-09-14 22:43:08 | Epoch  85/100 | Train Loss 0.0127 | Val Loss 0.0124 MAE 0.3667 R2 0.7938
2026-09-14 22:43:08 |   Val R2 improved to 0.7938, model saved
2026-09-14 22:43:09 | Epoch  86/100 | Train Loss 0.0128 | Val Loss 0.0126 MAE 0.3635 R2 0.7897
2026-09-14 22:43:09 | Epoch  87/100 | Train Loss 0.0129 | Val Loss 0.0126 MAE 0.3725 R2 0.7904
2026-09-14 22:43:09 | Epoch  88/100 | Train Loss 0.0133 | Val Loss 0.0123 MAE 0.3577 R2 0.7955
2026-09-14 22:43:09 |   Val R2 improved to 0.7955, model saved
2026-09-14 22:43:10 | Epoch  89/100 | Train Loss 0.0127 | Val Loss 0.0124 MAE 0.3623 R2 0.7931
2026-09-14 22:43:10 | Epoch  90/100 | Train Loss 0.0128 | Val Loss 0.0124 MAE 0.3581 R2 0.7930
2026-09-14 22:43:10 | Epoch  91/100 | Train Loss 0.0126 | Val Loss 0.0124 MAE 0.3609 R2 0.7934
2026-09-14 22:43:11 | Epoch  92/100 | Train Loss 0.0127 | Val Loss 0.0127 MAE 0.3747 R2 0.7873
2026-09-14 22:43:11 | Epoch  93/100 | Train Loss 0.0129 | Val Loss 0.0128 MAE 0.3593 R2 0.7864
2026-09-14 22:43:11 | Epoch  94/100 | Train Loss 0.0125 | Val Loss 0.0124 MAE 0.3590 R2 0.7936
2026-09-14 22:43:12 | Epoch  95/100 | Train Loss 0.0125 | Val Loss 0.0126 MAE 0.3717 R2 0.7889
2026-09-14 22:43:12 | Epoch  96/100 | Train Loss 0.0129 | Val Loss 0.0125 MAE 0.3589 R2 0.7906
2026-09-14 22:43:12 | Epoch  97/100 | Train Loss 0.0125 | Val Loss 0.0121 MAE 0.3578 R2 0.7974
2026-09-14 22:43:12 |   Val R2 improved to 0.7974, model saved
2026-09-14 22:43:13 | Epoch  98/100 | Train Loss 0.0125 | Val Loss 0.0124 MAE 0.3598 R2 0.7924
2026-09-14 22:43:13 | Epoch  99/100 | Train Loss 0.0126 | Val Loss 0.0122 MAE 0.3606 R2 0.7955
2026-09-14 22:43:13 | Epoch 100/100 | Train Loss 0.0125 | Val Loss 0.0135 MAE 0.3711 R2 0.7749
2026-09-14 22:43:13 | Run 1/5 | Test (best model @ Epoch 97) | Loss 0.0121 MAE 0.3565 R2 0.7879
2026-09-14 22:43:13 | ===== Run 2/5 (seed 1) =====
2026-09-14 22:43:14 | Epoch   1/100 | Train Loss 0.0961 | Val Loss 0.0576 MAE 0.6600 R2 0.2711
2026-09-14 22:43:14 |   Val R2 improved to 0.2711, model saved
2026-09-14 22:43:14 | Epoch   2/100 | Train Loss 0.0348 | Val Loss 0.0269 MAE 0.5582 R2 0.5662
2026-09-14 22:43:14 |   Val R2 improved to 0.5662, model saved
2026-09-14 22:43:15 | Epoch   3/100 | Train Loss 0.0255 | Val Loss 0.0215 MAE 0.4944 R2 0.6417
2026-09-14 22:43:15 |   Val R2 improved to 0.6417, model saved
2026-09-14 22:43:15 | Epoch   4/100 | Train Loss 0.0221 | Val Loss 0.0189 MAE 0.4740 R2 0.6847
2026-09-14 22:43:15 |   Val R2 improved to 0.6847, model saved
2026-09-14 22:43:15 | Epoch   5/100 | Train Loss 0.0207 | Val Loss 0.0176 MAE 0.4596 R2 0.7060
2026-09-14 22:43:15 |   Val R2 improved to 0.7060, model saved
2026-09-14 22:43:16 | Epoch   6/100 | Train Loss 0.0193 | Val Loss 0.0170 MAE 0.4401 R2 0.7154
2026-09-14 22:43:16 |   Val R2 improved to 0.7154, model saved
2026-09-14 22:43:16 | Epoch   7/100 | Train Loss 0.0188 | Val Loss 0.0167 MAE 0.4353 R2 0.7206
2026-09-14 22:43:16 |   Val R2 improved to 0.7206, model saved
2026-09-14 22:43:16 | Epoch   8/100 | Train Loss 0.0184 | Val Loss 0.0165 MAE 0.4348 R2 0.7242
2026-09-14 22:43:16 |   Val R2 improved to 0.7242, model saved
2026-09-14 22:43:17 | Epoch   9/100 | Train Loss 0.0180 | Val Loss 0.0165 MAE 0.4291 R2 0.7243
2026-09-14 22:43:17 |   Val R2 improved to 0.7243, model saved
2026-09-14 22:43:17 | Epoch  10/100 | Train Loss 0.0176 | Val Loss 0.0161 MAE 0.4280 R2 0.7309
2026-09-14 22:43:17 |   Val R2 improved to 0.7309, model saved
2026-09-14 22:43:17 | Epoch  11/100 | Train Loss 0.0177 | Val Loss 0.0158 MAE 0.4289 R2 0.7352
2026-09-14 22:43:17 |   Val R2 improved to 0.7352, model saved
2026-09-14 22:43:18 | Epoch  12/100 | Train Loss 0.0171 | Val Loss 0.0156 MAE 0.4235 R2 0.7385
2026-09-14 22:43:18 |   Val R2 improved to 0.7385, model saved
2026-09-14 22:43:18 | Epoch  13/100 | Train Loss 0.0170 | Val Loss 0.0157 MAE 0.4193 R2 0.7384
2026-09-14 22:43:18 | Epoch  14/100 | Train Loss 0.0169 | Val Loss 0.0155 MAE 0.4170 R2 0.7407
2026-09-14 22:43:18 |   Val R2 improved to 0.7407, model saved
2026-09-14 22:43:19 | Epoch  15/100 | Train Loss 0.0167 | Val Loss 0.0152 MAE 0.4203 R2 0.7454
2026-09-14 22:43:19 |   Val R2 improved to 0.7454, model saved
2026-09-14 22:43:19 | Epoch  16/100 | Train Loss 0.0165 | Val Loss 0.0154 MAE 0.4118 R2 0.7422
2026-09-14 22:43:19 | Epoch  17/100 | Train Loss 0.0165 | Val Loss 0.0151 MAE 0.4100 R2 0.7485
2026-09-14 22:43:19 |   Val R2 improved to 0.7485, model saved
2026-09-14 22:43:20 | Epoch  18/100 | Train Loss 0.0164 | Val Loss 0.0150 MAE 0.4098 R2 0.7498
2026-09-14 22:43:20 |   Val R2 improved to 0.7498, model saved
2026-09-14 22:43:20 | Epoch  19/100 | Train Loss 0.0163 | Val Loss 0.0153 MAE 0.4130 R2 0.7449
2026-09-14 22:43:20 | Epoch  20/100 | Train Loss 0.0159 | Val Loss 0.0154 MAE 0.4140 R2 0.7425
2026-09-14 22:43:21 | Epoch  21/100 | Train Loss 0.0159 | Val Loss 0.0148 MAE 0.4014 R2 0.7528
2026-09-14 22:43:21 |   Val R2 improved to 0.7528, model saved
2026-09-14 22:43:21 | Epoch  22/100 | Train Loss 0.0158 | Val Loss 0.0147 MAE 0.4066 R2 0.7546
2026-09-14 22:43:21 |   Val R2 improved to 0.7546, model saved
2026-09-14 22:43:21 | Epoch  23/100 | Train Loss 0.0156 | Val Loss 0.0146 MAE 0.4033 R2 0.7568
2026-09-14 22:43:21 |   Val R2 improved to 0.7568, model saved
2026-09-14 22:43:22 | Epoch  24/100 | Train Loss 0.0157 | Val Loss 0.0145 MAE 0.4004 R2 0.7578
2026-09-14 22:43:22 |   Val R2 improved to 0.7578, model saved
