2026-09-02 01:58:55 | Device: cuda
2026-09-02 01:58:55 | Args: {'model': 'opb', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 6.0, 'energy_classifier': False, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb/cora_gnn_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/cora_gnn_opb_beta_1_anchor_6/train.log', 'no_save': True}
2026-09-02 01:58:57 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-02 01:58:58 | ===== Run 1/5 (seed 0) =====
2026-09-02 01:59:03 | Epoch  41/100 | Train Loss 1.7426 Acc 0.9169 | Val Loss 4.2123 Acc 0.8524 AUC 0.9606 Pre 0.8427 Rec 0.8292
2026-09-02 01:59:03 | Epoch  42/100 | Train Loss 1.6573 Acc 0.9317 | Val Loss 4.2455 Acc 0.8542 AUC 0.9599 Pre 0.8464 Rec 0.8325
2026-09-02 01:59:03 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 42 (best AUC 0.9641 @ Epoch 32)
2026-09-02 01:59:03 | Run 2/5 | Test (best model @ Epoch 32) | Loss 4.1626 Acc 0.8708 AUC 0.9732 Pre 0.8721 Rec 0.8657
2026-09-02 01:59:03 | ===== Run 3/5 (seed 2) =====
2026-09-02 01:59:03 | Epoch   1/100 | Train Loss 20.0789 Acc 0.1404 | Val Loss 18.9641 Acc 0.3026 AUC 0.7112 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:03 |   Val AUC improved to 0.7112, model saved
2026-09-02 01:59:03 | Epoch   2/100 | Train Loss 19.0663 Acc 0.1607 | Val Loss 17.3274 Acc 0.3026 AUC 0.7666 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:03 |   Val AUC improved to 0.7666, model saved
2026-09-02 01:59:03 | Epoch   3/100 | Train Loss 17.4859 Acc 0.1669 | Val Loss 16.0813 Acc 0.3026 AUC 0.8052 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:04 |   Val AUC improved to 0.8052, model saved
2026-09-02 01:59:04 | Epoch   4/100 | Train Loss 16.2064 Acc 0.1970 | Val Loss 15.3197 Acc 0.3026 AUC 0.8223 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:04 |   Val AUC improved to 0.8223, model saved
2026-09-02 01:59:04 | Epoch   5/100 | Train Loss 15.4069 Acc 0.2826 | Val Loss 14.4822 Acc 0.3026 AUC 0.8314 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:04 |   Val AUC improved to 0.8314, model saved
2026-09-02 01:59:04 | Epoch   6/100 | Train Loss 14.5284 Acc 0.2999 | Val Loss 13.6809 Acc 0.3026 AUC 0.8185 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:04 | Epoch   7/100 | Train Loss 13.7272 Acc 0.3245 | Val Loss 13.1019 Acc 0.3026 AUC 0.8725 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:04 |   Val AUC improved to 0.8725, model saved
2026-09-02 01:59:04 | Epoch   8/100 | Train Loss 13.0626 Acc 0.3424 | Val Loss 12.2084 Acc 0.3026 AUC 0.8619 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:04 | Epoch   9/100 | Train Loss 12.0678 Acc 0.3541 | Val Loss 11.2998 Acc 0.3026 AUC 0.8819 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:04 |   Val AUC improved to 0.8819, model saved
2026-09-02 01:59:04 | Epoch  10/100 | Train Loss 11.0685 Acc 0.3732 | Val Loss 10.3698 Acc 0.4779 AUC 0.9190 Pre 0.3270 Rec 0.3048
2026-09-02 01:59:04 |   Val AUC improved to 0.9190, model saved
2026-09-02 01:59:04 | Epoch  11/100 | Train Loss 10.0906 Acc 0.4397 | Val Loss 9.1978 Acc 0.5148 AUC 0.9255 Pre 0.3126 Rec 0.3393
2026-09-02 01:59:04 |   Val AUC improved to 0.9255, model saved
2026-09-02 01:59:04 | Epoch  12/100 | Train Loss 8.7811 Acc 0.5012 | Val Loss 8.1371 Acc 0.5332 AUC 0.9345 Pre 0.3022 Rec 0.3561
2026-09-02 01:59:04 |   Val AUC improved to 0.9345, model saved
2026-09-02 01:59:04 | Epoch  13/100 | Train Loss 7.6846 Acc 0.5369 | Val Loss 7.3347 Acc 0.6845 AUC 0.9474 Pre 0.5160 Rec 0.5250
2026-09-02 01:59:04 |   Val AUC improved to 0.9474, model saved
2026-09-02 01:59:04 | Epoch  14/100 | Train Loss 6.8324 Acc 0.6293 | Val Loss 7.0271 Acc 0.7085 AUC 0.9471 Pre 0.5311 Rec 0.5564
2026-09-02 01:59:04 | Epoch  15/100 | Train Loss 6.4674 Acc 0.6379 | Val Loss 6.9765 Acc 0.7620 AUC 0.9532 Pre 0.5391 Rec 0.6216
2026-09-02 01:59:04 |   Val AUC improved to 0.9532, model saved
2026-09-02 01:59:04 | Epoch  16/100 | Train Loss 6.4029 Acc 0.6829 | Val Loss 6.7544 Acc 0.7565 AUC 0.9575 Pre 0.5330 Rec 0.6193
2026-09-02 01:59:04 |   Val AUC improved to 0.9575, model saved
2026-09-02 01:59:04 | Epoch  17/100 | Train Loss 6.1391 Acc 0.7174 | Val Loss 6.3618 Acc 0.7694 AUC 0.9614 Pre 0.6795 Rec 0.6348
2026-09-02 01:59:04 |   Val AUC improved to 0.9614, model saved
2026-09-02 01:59:04 | Epoch  18/100 | Train Loss 5.6066 Acc 0.7438 | Val Loss 5.9507 Acc 0.7675 AUC 0.9603 Pre 0.6778 Rec 0.6328
2026-09-02 01:59:04 | Epoch  19/100 | Train Loss 5.0339 Acc 0.7617 | Val Loss 5.6440 Acc 0.7768 AUC 0.9610 Pre 0.6826 Rec 0.6468
2026-09-02 01:59:04 | Epoch  20/100 | Train Loss 4.5805 Acc 0.7746 | Val Loss 5.4441 Acc 0.7804 AUC 0.9609 Pre 0.6841 Rec 0.6594
2026-09-02 01:59:04 | Epoch  21/100 | Train Loss 4.2409 Acc 0.7746 | Val Loss 5.3133 Acc 0.7804 AUC 0.9600 Pre 0.8282 Rec 0.6621
2026-09-02 01:59:04 | Epoch  22/100 | Train Loss 4.0230 Acc 0.7869 | Val Loss 5.1776 Acc 0.7878 AUC 0.9606 Pre 0.7964 Rec 0.6748
2026-09-02 01:59:04 | Epoch  23/100 | Train Loss 3.8266 Acc 0.7919 | Val Loss 5.0540 Acc 0.8247 AUC 0.9607 Pre 0.8467 Rec 0.7473
2026-09-02 01:59:04 | Epoch  24/100 | Train Loss 3.5532 Acc 0.8091 | Val Loss 4.9392 Acc 0.8469 AUC 0.9609 Pre 0.8599 Rec 0.7948
2026-09-02 01:59:05 | Epoch  25/100 | Train Loss 3.3551 Acc 0.8134 | Val Loss 4.7710 Acc 0.8579 AUC 0.9619 Pre 0.8618 Rec 0.8203
2026-09-02 01:59:05 |   Val AUC improved to 0.9619, model saved
